Approach,Rank,Chkpt ID,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
List,0,1,256,3262906112,20284568,4942987264,141075173872.69675,160.85657392358564,0.023128846999999998
List,0,1,256,3262906112,20284568,4942987264,151764169090.52136,160.85657392358564,0.021499845
List,0,1,512,3262906112,29128056,4376756224,136079035710.28502,112.01935728220242,0.023978022
List,0,1,512,3262906112,29128056,4376756224,147119716692.3867,112.01935728220242,0.022178577999999997
List,0,1,512,3262906112,29128056,4376756224,143630995324.96933,112.01935728220242,0.022717283999999997
List,0,1,1024,3262906112,41064856,4097835008,125552940865.0181,79.45738594578293,0.025988288999999998
List,0,1,1024,3262906112,41064856,4039114752,134481717646.78825,79.45738594578293,0.024262823
List,0,1,1024,3262906112,41064856,4039114752,134916056766.93375,79.45738594578293,0.024184712999999997
List,0,1,2048,3262906112,55079212,3946840064,118076515204.48055,59.240246792201745,0.027633828
List,0,1,2048,3262906112,55079212,3957325824,119346443726.60576,59.240246792201745,0.027339785
List,0,1,2048,3262906112,55079212,3946840064,117965792984.86449,59.240246792201745,0.027659765
List,0,1,4096,3262906112,70899076,3909091328,102912047250.44719,46.02184254136119,0.031705774
List,0,1,4096,3262906112,70899076,3909091328,105385744790.3692,46.02184254136119,0.030961550999999997
List,0,1,4096,3262906112,70899076,3909091328,102356860790.69516,46.02184254136119,0.031877747
TreeLowOffset,0,1,32,3262906112,7935564,18184404992,68868454554.16576,411.17507363055734,0.04737882
TreeLowOffset,0,1,32,3262906112,7935564,18184404992,128819933292.80566,411.17507363055734,0.025329202000000002
TreeLowOffset,0,1,32,3262906112,7935564,18184404992,121493482411.32962,411.17507363055734,0.026856635000000004
TreeLowOffset,0,1,64,3262906112,8039980,10991173632,89747506347.55646,405.8351030723957,0.03635651
TreeLowOffset,0,1,64,3262906112,8039980,10991173632,146019790614.21503,405.8351030723957,0.022345643000000002
TreeLowOffset,0,1,64,3262906112,8039980,10991173632,159668617260.32672,405.8351030723957,0.020435488
TreeLowOffset,0,1,128,3262906112,10853168,7392460800,157929846153.60785,300.64089231826136,0.020660478000000003
TreeLowOffset,0,1,128,3262906112,10853168,7392460800,184678181340.17505,300.64089231826136,0.017668065
TreeLowOffset,0,1,128,3262906112,10853168,7392460800,163607045584.4006,300.64089231826136,0.019943554999999998
TreeLowOffset,0,1,256,3262906112,16164224,5599395840,191159288309.25085,201.85974359177402,0.017069043
TreeLowOffset,0,1,256,3262906112,16164224,5599395840,193378908694.02185,201.85974359177402,0.016873123
TreeLowOffset,0,1,256,3262906112,16164224,5599395840,210874149362.00494,201.85974359177402,0.015473239
