Scenario,Approach,Rank,Chkpt ID,Number of Chkpts,Chunk Size,Uncompressed Size,Compressed Size,Max Memory Usage,Compression Throughput,Compression Ratio,Compression Runtime
AsiaOSM,List,0,3,10,64,3489621044,30556844,8919187456,133578234626.67183,114.20096407862016,0.026124174
AsiaOSM,List,0,3,10,64,3489621044,30556844,8919187456,136140067841.00812,114.20096407862016,0.025632579
AsiaOSM,TreeLowOffset,0,3,10,64,3489621044,29082056,11733565440,124756258036.97197,119.99224002594589,0.027971511
AsiaOSM,TreeLowOffset,0,3,10,64,3489621044,29082056,11733565440,122205101128.69893,119.99224002594589,0.028555445
AsiaOSM,TreeLowOffset,0,3,10,64,3489621044,29082056,11733565440,128090422277.76184,119.99224002594589,0.027243418999999998
AsiaOSM,Full,0,4,10,64,3489621044,3489621044,4007657472,3458025336.2288527,1.0,1.0091369220000002
AsiaOSM,Full,0,4,10,64,3489621044,3489621044,4007657472,3434748596.113296,1.0,1.015975681
AsiaOSM,Full,0,4,10,64,3489621044,3489621044,4007657472,3407845560.636194,1.0,1.0239962409999999
AsiaOSM,Basic,0,4,10,64,3489621044,67601144,8596226048,31726161852.980694,51.62073949517777,0.109991907
AsiaOSM,Basic,0,4,10,64,3489621044,67601144,8596226048,31763391286.639603,51.62073949517777,0.109862987
AsiaOSM,Basic,0,4,10,64,3489621044,67601144,8596226048,31778291909.443745,51.62073949517777,0.10981147299999999
AsiaOSM,List,0,4,10,64,3489621044,32931144,8919187456,115477461944.05876,105.9671976169428,0.030219066
AsiaOSM,List,0,4,10,64,3489621044,32931144,8919187456,136869053158.65324,105.9671976169428,0.025496056
AsiaOSM,List,0,4,10,64,3489621044,32931144,8919187456,130620375817.28949,105.9671976169428,0.026715748
AsiaOSM,TreeLowOffset,0,4,10,64,3489621044,31169612,11733565440,116168787543.19643,111.95587048051802,0.030039231
AsiaOSM,TreeLowOffset,0,4,10,64,3489621044,31169612,11733565440,121272715134.66086,111.95587048051802,0.028774989
AsiaOSM,TreeLowOffset,0,4,10,64,3489621044,31169612,11733565440,111119986093.52715,111.95587048051802,0.031404081
AsiaOSM,Full,0,5,10,64,3489621044,3489621044,4007657472,3453442466.458121,1.0,1.010476091
AsiaOSM,Full,0,5,10,64,3489621044,3489621044,4007657472,3435999451.6021976,1.0,1.015605821
AsiaOSM,Full,0,5,10,64,3489621044,3489621044,4007657472,3413674855.2259307,1.0,1.022247634
AsiaOSM,Basic,0,5,10,64,3489621044,72800084,8596226048,31290323565.24474,47.93429969119266,0.11152396799999999
AsiaOSM,Basic,0,5,10,64,3489621044,72800084,8596226048,31278222476.21981,47.93429969119266,0.111567115
AsiaOSM,Basic,0,5,10,64,3489621044,72800084,8596226048,31242743109.55331,47.93429969119266,0.111693811
AsiaOSM,List,0,5,10,64,3489621044,35078432,8919187456,129676778565.22961,99.48053105680437,0.026910146000000003
AsiaOSM,List,0,5,10,64,3489621044,35078432,8919187456,130948578714.0271,99.48053105680437,0.026648789000000003
AsiaOSM,List,0,5,10,64,3489621044,35078432,8919187456,135331318862.37524,99.48053105680437,0.025785761
AsiaOSM,TreeLowOffset,0,5,10,64,3489621044,33000884,11733565440,84664718454.99466,105.74325960480331,0.041216945000000005
AsiaOSM,TreeLowOffset,0,5,10,64,3489621044,33000884,11733565440,118443115233.36404,105.74325960480331,0.029462422000000002
AsiaOSM,TreeLowOffset,0,5,10,64,3489621044,33000884,11733565440,121829702541.9508,105.74325960480331,0.028643434
